id,nome,tipo,autor,plataforma,url,tamanho_mb,corpo,prioridade,notas
M01,DM BDOR Navillera by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-navillera-by-team-tal.1079,300,CBBE3BA,2,
M02,BDOR Kerketon by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-kerketon-by-team-tal.1422,300,CBBE3BA,2,
M03,BDOR Hyperion by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-hyperion-by-team-tal.1169,300,CBBE3BA,2,
M04,Gotha Rensa,set_individual,NINI,modbooru,https://modbooru.com/mods/gotha-rensa.708,300,CBBE3BA,2,
M05,Dawley Syande,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dawley-syande.330,300,CBBE3BA,2,
M06,BDOR Drakania Talis by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-drakania-talis-by-team-tal.1432,300,CBBE3BA,2,
M07,BDOR Ceraunus by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-ceraunus-by-team-tal.1429,300,CBBE3BA,2,
M08,BDOR Violeta by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-violeta-by-team-tal.1421,300,CBBE3BA,2,
M09,BDOR Oblivion by Team TAL 220611,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-oblivion-by-team-tal-220611.1380,300,CBBE3BA,2,
M10,DM BDOR Checkmate by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-checkmate-by-team-tal.1246,300,CBBE3BA,2,
M11,DM BDOR Ekratus by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-ekratus-by-team-tal.1239,300,CBBE3BA,2,
M12,DM BDOR Derictus by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-derictus-by-team-tal.1233,300,CBBE3BA,2,
M13,BDOR Garnet Marniera by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-garnet-marniera-by-team-tal.1217,300,CBBE3BA,2,
M14,[Dint999] BDO Striker,set_individual,dint999,modbooru,https://modbooru.com/mods/dint999-bdo-striker.1198,300,CBBE3BA,2,
M15,DM BDOR SummerBox1 by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-summerbox1-by-team-tal.1183,300,CBBE3BA,2,
M16,DM BDOR Tiger Emissary by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-tiger-emissary-by-team-tal.1093,300,CBBE3BA,2,
M17,BDOR Messenger of Arduir by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-messenger-of-arduir-by-team-tal.1054,300,CBBE3BA/BHUNP,2,
M18,BDOR Trailblazer by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-trailblazer-by-team-tal.1031,300,CBBE3BA,2,
M19,DM BDOR Darkborne Rose by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-darkborne-rose-by-team-tal.1027,300,CBBE3BA,2,
M20,BDOR Marnist by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-marnist-by-team-tal.1012,300,CBBE3BA,2,
M21,DM BDOR Corbicanus by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-corbicanus-by-team-tal.989,300,CBBE3BA,2,
M22,BDOR Outlaws of Margoria by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-outlaws-of-margoria-by-team-tal.930,300,CBBE3BA,2,
M23,BDOR Makalu by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-makalu-by-team-tal.906,300,CBBE3BA,2,
M24,BDO Dark Knight - Rosa Cassius,set_individual,Kirax,modbooru,https://modbooru.com/mods/bdo-dark-knight-rosa-cassius.868,300,CBBE3BA,2,
M25,BDOR Crown Eagle by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-crown-eagle-by-team-tal.866,300,CBBE3BA,2,
M26,BDOR Sanguine Petal by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-sanguine-petal-by-team-tal.859,300,CBBE3BA,2,
M27,BDOR Leporem by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-leporem-by-team-tal.853,300,CBBE3BA,2,
M28,DM BDOR Venia Riding Attire by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-venia-riding-attire-by-team-tal.805,300,CBBE3BA,2,
M29,DM BDOR Taritas by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-taritas-by-team-tal.765,300,CBBE3BA,2,
M30,DM BDOR Pabilla by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-pabilla-by-team-tal.762,300,CBBE3BA,2,
M31,BDOR Adamas by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-adamas-by-team-tal.757,300,CBBE3BA,2,
M32,DM BDOR Orthodox by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-orthodox-by-team-tal.755,300,CBBE3BA,2,
M33,DM BDOR Sephia by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-sephia-by-team-tal.728,300,CBBE3BA,2,
M34,DM BDOR Iron Thorn by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-iron-thorn-by-team-tal.720,300,CBBE3BA,2,
M35,DM BDOR Gierach by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-gierach-by-team-tal.706,300,CBBE3BA,2,
M36,DM BDOR Berserk by Team TAL & BakaFactory,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-berserk-by-team-tal-bakafactory.705,300,CBBE3BA,2,
M37,BDOR La Orzeca by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-la-orzeca-by-team-tal.701,300,CBBE3BA,2,LoversLab #15216
M38,DM BDOR Solios by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-solios-by-team-tal.631,300,CBBE3BA,2,
M39,DM BDOR Azure Knight by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-azure-knight-by-team-tal.629,300,CBBE3BA,2,
M40,DM BDOR Griffith by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-griffith-by-team-tal.563,300,CBBE3BA,2,
M41,DM BDOR Hamshin by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-hamshin-by-team-tal.559,300,CBBE3BA,2,
M42,DM BDOR Nova Taritas by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-nova-taritas-by-team-tal.552,300,CBBE3BA,2,
M43,DM BDOR Danharum by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-danharum-by-team-tal.534,300,CBBE3BA,2,LoversLab #16006
M44,BDOR Sacra by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-sacra-by-team-tal.522,300,CBBE3BA,2,LoversLab #15192
M45,DM BDOR Aquila by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-aquila-by-team-tal.521,300,CBBE3BA,2,LoversLab #16007
M46,DM BDOR Dobart by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-dobart-by-team-tal.520,300,CBBE3BA,2,
M47,DM BDOR Eclipse by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-eclipse-by-team-tal.440,300,CBBE3BA,2,
M48,DM BDOR Night Cat by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-night-cat-by-team-tal.382,300,CBBE3BA,2,
M49,DM BDOR Lemoria by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-lemoria-by-team-tal.376,300,CBBE3BA,2,
M50,DM BDOR Ram Horn Witch by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-ram-horn-witch-by-team-tal.375,300,CBBE3BA,2,
M51,DM BDOR Mueburus by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-mueburus-by-team-tal.368,300,CBBE3BA,2,
M52,DM BDOR Karlstein by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-karlstein-by-team-tal.355,300,CBBE3BA,2,
M53,BDO Valkyrie,set_individual,dint999,modbooru,https://modbooru.com/mods/bdo-valkyrie.353,300,CBBE3BA,2,
M54,BDO Dream Lace,set_individual,desconhecido,modbooru,https://modbooru.com/mods/bdo-dream-lace.339,300,CBBE3BA,2,
M55,BDO Winter Snow Outfit,set_individual,desconhecido,modbooru,https://modbooru.com/mods/bdo-winter-snow-outfit.303,300,CBBE3BA,2,
M56,BDOR Malice by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-malice-by-team-tal.106,300,CBBE3BA,2,
M57,DM BDOR Lumik by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-lumik-by-team-tal.58,300,CBBE3BA,2,
M58,DM BDOR Kibelius by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-kibelius-by-team-tal.57,300,CBBE3BA,2,
M59,DM BDOR Lephria by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-lephria-by-team-tal.56,300,CBBE3BA,2,
M60,DM BDOR Robeaus by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-robeaus-by-team-tal.49,300,CBBE3BA,2,
M61,BDOR Deathrone by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-deathrone-by-team-tal.46,300,CBBE3BA,2,
M62,DM BDOR Caroxya by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-caroxya-by-team-tal.44,300,CBBE3BA,2,
M63,BDOR Grotevant by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/bdor-grotevant-by-team-tal.32,300,CBBE3BA,2,
M64,DM BDOR Vedirdate by Team TAL,set_individual,Team TAL,modbooru,https://modbooru.com/mods/dm-bdor-vedirdate-by-team-tal.4,300,CBBE3BA,2,
GD01,BDO Ataraxia SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1qBpFZmOIp6B_JmSXl7-FB4kLDeDeJxAf,200,CBBE,2,
GD02,Karlstein SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1KpTH4vEk1sf9QwLTG5K3k4Fps9AT3fJ0,200,CBBE,2,
GD03,BDOR Corbicanus SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1G5yiU0xbXh_y9XsPDQ6z5Gg6razeb-Nk/edit,250,CBBE,2,
GD04,BDOR Marnist SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1QrHV_lH3ESUSiN-4bYwrMivMr5YlQK-A/edit,250,CBBE,2,
GD05,BDOR Darkborne Rose SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1r8kngKdDHKb9nIJQpWywhciBn4-Sirgy/edit,250,CBBE,2,
GD06,BDOR Makalu SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1u9Fvkc5xgY4vr3oiPZGkC_cX2CuwX2FV/edit,250,CBBE,2,
GD07,BDOR Trailblazer SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1G-r_seDgTy5k-WzxpzzYk3OON9KFMQYd/edit,250,CBBE,2,
GD08,BDOR Solios SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1ssqZ7O28hB0MuDGBoQMSnqCSFUTbugAM,250,CBBE,2,
GD09,BDOR Robeaus SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1AU3j37pKA9IWYOnxBB9gXnrZOI1Qz6RS/,250,CBBE,2,
GD10,BDOR Grotevant SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1aLukpnhO7YNorYl11VTy8-6HEEeFPP35/,250,CBBE,2,
GD11,BDOR Deathrone SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1v1dc8jZnT4Xq6bB9Tt6XGaM8VnOFOpw8/,250,CBBE,2,
GD12,BDO Rosa Le Dessous SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1w8FYON11jWnOY0J8yqaMxKUtEYuI6TdA/,200,CBBE,2,
GD13,BDO Arena SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1zx6pYunYVmbRw_G08ZIsKFxBUB5JnTNZ/view,200,CBBE,2,
GD14,BDO Cavaro SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1qDN1OymReXzS52ZidrD4JywEgnpus-D5/view,200,CBBE,2,
GD15,BDOR Sephia SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1qfS_8ccC_C6Qq88toPffLMrQv0kIpmmh/view,250,CBBE,2,
GD16,BDOR Adamas SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1bBhqwH969t1UBVAJVtOog9k2uKJQ-hjY/view,250,CBBE,2,
GD17,BDOR Azure Knight SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1Ck6NHy2ojNC8sU2qhg9H1oRHOtATiXjv/view,250,CBBE,2,
GD18,BDOR Checkmate SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1iy9FT2kf8vq2g0aTOuFtlLNKiyUepfq9/view,250,CBBE,2,
GD19,BDOR Iron Thorn SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1g0KQQqCDK_L-or_b0ow1usc0KdDK_WYR/view,250,CBBE,2,
GD20,BDOR Derictus SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1g1JVnj52i16C5DPwk7_rcJ3YHMy0HlbT/view,250,CBBE,2,
GD21,BDOR Warden SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/13R4F59XHf3oZsESIGMrGRnbwbqlSULYN/view,250,CBBE,2,
GD22,BDOR DK 0172 SE,set_individual,Kirax,googledrive,https://drive.google.com/file/d/1TkeHDdN48ybtTeRH5zpE9_cjKCGAgiHq/,250,CBBE,2,
GD23,BDO Guardian Grunil SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1YB6V09RCGMiHLy1zN045KBA7AA4tj6UK/,250,CBBE,2,
GD24,BDO Malice SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1ZRN_2w1Vzh9o4-H9ymy5Au0P3NKApqwn/,250,CBBE,2,
GD25,BDO Tinuviel SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1w3nDuIAKlN8iN2iPirDGolbuFt1eGpsx/,250,CBBE,2,
GD26,BDO Ram Horn Witch SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1R0ft2Z5VR1b80Su7F9koh4RFmnoTc_83/,250,CBBE,2,
GD27,BDO Cantibile SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1eYn87wD_2i8wx_V5DAXmLt_rgvLHHprZ/,250,CBBE,2,
GD28,BDO Lilikh SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1kmPUlvffBmdN2d3qTbmXJqfXaE0ChiuR/,250,CBBE,2,
GD29,BDO DK Floree SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1wTR2XVRcC5Rl1YVyqUqd4_sRFuLXMmui/,250,CBBE,2,
GD30,BDO Shadowcat SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1v3NnIqN-x1Kow3GuYFS7OAeM4GHFvd1-/view,250,CBBE,2,
GD31,BDO Ivish SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1HhKZwprqrh0w8ybw5NUROgderVA2IANY/view,250,CBBE,2,
GD32,BDOR Deathrone (V2?) SE,set_individual,Team TAL,googledrive,https://drive.google.com/file/d/1v1dc8jZnT4Xq6bB9Tt6XGaM8VnOFOpw8/,250,CBBE,2,
GD33,BDO Azera Sorceress SE,set_individual,desconhecido,googledrive,https://drive.google.com/file/d/1OzRnQMQd6v-jCdpBCwLtvU1PgP9UHPJx/,250,CBBE,2,
MF01,BDOR Eclipse by Team TAL fomod SE,set_individual,Team TAL,mediafire,https://www.mediafire.com/file/ogobg4v6b7lsfmy/BDOR_Eclipse_by_Team_TAL_fomod.7z/file,250,CBBE3BA,2,
MF02,[Dint999] BDO Striker CBBE SE fomod,set_individual,dint999,mediafire,https://www.mediafire.com/file/369mq5q15b02sie/%255BDint999%255D_BDO_Striker_CBBE_SE_fomod.7z/file,250,CBBE3BA,2,
MF03,BDO Winter Snow Dress SE,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/4tx2yypq3gxrd3z/BDO_Winter_Snow_Dress.7z/file,250,CBBE,2,
MF04,Jingang Outfit 2.0.0 SE,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/y7qbh72k4seaurb/Jingang_Outfit_2-0-0_SE.7z/file,250,CBBE,2,
MF05,BDO Valkyrie SE 1.0.0,set_individual,dint999,mediafire,https://www.mediafire.com/file/93l7kl2raszrtra/BDO_Valkyrie_SE_1-0-0.7z/file,250,CBBE,2,
MF06,BDO Ranger Anemos SE CBBE SMP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/agfgkyc9k5fbvh4/BDO_Ranger_Anemos_%255BSE%255D_-_CBBE_BodySlide_%2528SMP%2529.7z/file,300,CBBE,2,
MF07,BDO Boss Armor 01 CBBE SE SMP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/jbm4287qkwtcbsf/BDO_Boss_Armor_01_-_CBBE_SE_%2528SMP%2529.7z/file,300,CBBE,2,
MF08,BDO Atanis CBBE SE Physics,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/sc21i8303itjs21/BDO_Atanis_-_CBBE_SE_%2528Physics%2529.7z/file,300,CBBE,2,
MF09,BDO Berserker CBBE SE Physics,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/aeuxp4pp6j4a5ul/BDO_Berserker_-_CBBE_SE_%2528Physics%2529.7z/file,300,CBBE,2,
MF10,BDO Cokro Cuirass CBBE SE Physics,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/mm10ygywax5efmv/BDO_Cokro_Cuirass_-_CBBE_SE_%2528Physics%2529.7z/file,300,CBBE,2,
MF11,BDO Elf Armor CBBE SE Physics,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/t8ysjz324qfnd1z/BDO_Elf_Armor_-_CBBE_SE_%2528Physics%2529.7z/file,300,CBBE,2,
MF12,BDO Ranger La Medellin CBBE SE SMP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/3ucd71wh3aap6i0/BDO_Ranger_La_Medellin_-_CBBE_SE_%2528SMP_-_Physics%2529.7z/file,300,CBBE,2,
MF13,BDO India SE CBBE BHUNP SMP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/d1367rz51t1l6oo/BDO_India_%255BSE%255D_-_CBBE_-_BHUNP_-_%2528Physics_-_SMP%2529.7z/file,300,CBBE/BHUNP,2,
MF14,BDO Ahon Kirus SE CBBE BHUNP,set_individual,Team TAL,mediafire,https://www.mediafire.com/file/re7godkupogdqdb/BDO_Ahon_Kirus_%255BSE%255D_-_CBBE_-_BHUNP.7z/file,300,CBBE/BHUNP,2,
MF15,Purple Esmeralda SE CBBE BHUNP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/4vv388x5hw3tf6y/Purple_Esmeralda_%255BSE%255D_-_CBBE_-_BHUNP.7z/file,300,CBBE/BHUNP,2,
MF16,Lightning Archer SE CBBE BHUNP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/bu5cxbye4bvvvtz/Lightning_Archer_%255BSE%255D_-_CBBE_-_BHUNP.7z/file,300,CBBE/BHUNP,2,
MF17,Tara SE CBBE BHUNP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/8hqhmk9q439u6ql/Tara+%255BSE%255D+-+CBBE+-+BHUNP.7z/file,300,CBBE/BHUNP,2,
MF18,Ram Horn Witch SE 3BBB SMP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/q2v1o0zyd8htlt5/Ram_Horn_Witch_%255BSE%255D_-_CBBE_-_%2528Physics_-_SMP_-_3BA%2529.7z/file,300,CBBE3BA,2,
MF19,Valkyrie Olympia SE CBBE BHUNP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/lu0ey0bpk1xm83v/Valkyrie_Olympia_%255BSE%255D_-_CBBE_-_BHUNP.7z/file,300,CBBE/BHUNP,2,
MF20,Dark Disciple SE CBBE BHUNP,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/0li0x872uuwowvl/Dark_Disciple_%255BSE%255D_-_CBBE_-_BHUNP.7z/file,300,CBBE/BHUNP,2,
MF21,Velveteen Armor CBBE SE SMP 3BA,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/82g93ozo3tdo49s/Velveteen_Armor_CBBE_SE_%2528Physics_-_CBBE_SMP_-_3BA%2529_fomod.7z/file,300,CBBE3BA,2,
MF22,Lady Alina Outfit CBBE SE 3BA SMP fomod,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/cwh41xp46yzyk4i/Lady_Alina_Outfit_CBBE_SE_%2528Physics_-_CBBE_SMP_-_3BA%2529_fomod.7z/file,300,CBBE3BA,2,
MF23,Mistress Lilith CBBE SE 3BA fomod,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/ta679dq9dpe9pcz/%255BMelodic%255D_Mistress_Lilith_CBBE_%2528Physics_-_CBBE_SMP_-_3BA%2529_fomod.7z/file,300,CBBE3BA,2,
MF24,MBO 0051 CBBE SE Physics,set_individual,desconhecido,mediafire,https://www.mediafire.com/file/odlvy4uyrd3us2k/MBO_0051_-_CBBE_SE_%2528Physics%2529.7z/file,300,CBBE,2,
MG01,BDOR Sin Terrna (Mega),pack_team_tal,Team TAL,mega,https://mega.nz/file/srR0yIbZ#rsTaW12GjDuG8QW1HuPYlui4ja-gVmNC1WEmTP8iRgQ,400,UNP,2,
MG02,BDO Zhumoyi (Mega),set_individual,desconhecido,mega,https://mega.nz/file/g7IwQYaI#uASe7NJ04jHQ1WYVOmET4TbG5iM8c-xz_c8GtISZz_c,400,CBBE,2,
MG03,BDO Valoren (Mega),set_individual,Team TAL,mega,https://mega.nz/file/xnYWwQxQ#zl7tNj9O1opkvDvOpSGGlDfz4wmjtW6A-VvQnFNpgRc,400,CBBE,2,
MG04,BDO Rosa Cassius (Mega),set_individual,Team TAL,mega,https://mega.nz/file/EqZ2EQpb#dDi75Ix3W5zS_Ee7yOartTRi4_9zpfmrTYVwQKy5Mqg,400,CBBE,2,
MG05,BDO Silver Fox (Mega),set_individual,desconhecido,mega,https://mega.nz/file/QmB0kQLZ#DGzlAlvVFuS5SgwMY1SIZk84TAxUDmq-lL6eOQG2nQU,400,CBBE,2,
MG06,BDO Shiva (Mega),set_individual,desconhecido,mega,https://mega.nz/file/xzwQwQZa#lCD2KiMQuD7DAh7vToEjMv-7plMCNhluDHv7v-gXVhQ,400,CBBE,2,
MG07,BDO Fran (Mega),set_individual,desconhecido,mega,https://mega.nz/file/87JHyKSZ#1EWVru3vSWZsknJDUVuFzwreC0Uw7pNffgT5kU5ZSOc,400,CBBE,2,
MG08,BDO Selene (Mega),set_individual,desconhecido,mega,https://mega.nz/file/F6ZhBaJT#XKdDnI5TqaNaMfYwM9K1_A29nP4iIN7UfjvKOxrWyj8,400,CBBE,2,
MG09,BDO Jousting (Mega),armas,desconhecido,mega,https://mega.nz/file/knQQhQZB#2CeI8ZpOeFCkJpf8Op6-hlzrdKd_eI_AmZtTOkeWRsc,300,armas,2,
MG10,BDO Elf Paladin (Mega),set_individual,desconhecido,mega,https://mega.nz/file/uH4E2JYD#sbGEhsJkXjWQol5ZmmYnCDuLtGAhjh73UZGVZsgMcFs,300,CBBE,2,
