id,nome,categoria,escopo,autores,corpo,versao_observada,disponibilidade,verificacao,consultado_em,requisitos_parciais,lista_requisitos_consultada,redistribuicao,url_fonte,observacoes,arquivo_na_release
immy-sin-terrna,BDO Dark Knight - Sin Terrna — immyneedscake,armaduras,principal,immyneedscake; dint999,CBBE; BHUNP (listado na página),,page_available,page_read,2026-09-06,CBBE SE ou BHUNP; BodySlide; AddItemMenu,nao,unverified,https://www.immyneedscake.com/skyrim-se-mods/dark-knight-sin-terrna,"A publicação lista HDT-SMP ou CBP Physics com observação de opcionalidade, e XP32 com ressalva. | Escolher apenas uma solução de high heels; conferir os arquivos efetivos de BodySlide para o corpo escolhido. | Link de download Mega presente na página; arquivo não baixado.",nao
immy-rosa-cassius,BDO Dark Knight - Rosa Cassius — immyneedscake,armaduras,principal,immyneedscake; dint999,CBBE,,unverified,search_index,2026-09-06,HDT-SMP para a física anunciada,nao,unverified,https://www.immyneedscake.com/skyrim-se-mods/dark-knight-rosa-cassius,Não confundir com a reconstrução BDO Reborn ou com a versão dentro de um pack. | A lista completa de requisitos ainda precisa ser lida na fonte.,nao
sunjeong-dream-lace,BDO Dream Lace — SunJeong,armaduras,principal,SunJeong; GarudaB,CBBE; CBBE SMP; 3BA,,page_available,page_read,2026-09-06,"CBBE SE; BodySlide; XPMSSE; CBPC ou HDT-SMP, conforme variante",nao,unverified,https://sunkeumjeong.wixsite.com/mysite/post/bdo-dream-lace,Escolher a variante no FOMOD e gerar o grupo BDO Dream Lace no BodySlide. | A fonte orienta obter o traje por AddItemMenu. | O link público do autor não equivale a autorização para hospedar uma cópia no GitHub.,nao
hanbok-revised,BDO New Year Hanbok Revised,armaduras,principal,PawBoCap,3BA,1.0.0,page_available,page_read,2026-09-06,BodySlide; CBBE 3BA; FSMP - Faster HDT-SMP,sim,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/158294,"No BodySlide, filtrar por hanbok e executar Batch Build. | A página sugere Modex para encontrar os itens.",nao
nightwarden-pbr,BDOR NightWarden - PBR,armaduras,principal,Pesartom; Xenaith (modelo Daz); Pearl Abyss (conteúdo original),masculino,1.0.0,page_available,page_read,2026-09-06,Community Shaders com suporte PBR; SMP para a capa,nao,nexus_only,https://www.nexusmods.com/skyrimspecialedition/mods/136047,"O autor afirma que materiais e malhas não funcionarão como esperado sem Community Shaders. | A capa usa SMP; criação e melhoria exigem o perk de ébano, segundo a página. | Alternativa ao port convencional: não instalar as variantes às cegas uma sobre a outra.",nao
urbon-nightwarden,BDOR Nightwarden SMP for BHUNP and HIMBO,conversoes,principal,urbon,BHUNP; HIMBO,,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-nightwarden-91776638,"A publicação apresenta arquivo-base SE e dois refits, um por corpo. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-solar-knight,BDOR Solar Knight SMP - BHUNP and HIMBO,conversoes,principal,urbon,BHUNP; HIMBO,,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-solar-smp-91665850,"A publicação indica arquivo-base separado e refits BHUNP/HIMBO. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-chic-lua,BDOR Chic Lua for BHUNP,conversoes,principal,urbon,BHUNP; 3BA (base),,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-chic-lua-81153392,"Para BHUNP, a descrição orienta usar o arquivo-base e o refit. | Inclui referências a escudo, machado e capa SMP. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-hyperion,BDOR Hyperion for BHUNP,conversoes,principal,urbon,BHUNP; 3BA (base),,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-hyperion-81118176,"A descrição separa o arquivo-base 3BA da conversão BHUNP. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-derictus,BDOR Derictus SMP for HIMBO,conversoes,principal,urbon,HIMBO,,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-derictus-91807736,"Conversão credita em486 pelo port SE e Team TAL pelo trabalho anterior. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-arditer,BDOR Arditer / Arditel SMP for BHUNP,conversoes,principal,urbon,BHUNP,,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-arditer-smp-93625449,"Refit com arquivo-base separado indicado no post. | Três opções de cor e opção de crafting são descritas na fonte. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-cernay,BDOR Cernay / Silaine SMP for BHUNP,conversoes,principal,urbon,BHUNP,,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-cernay-smp-93647201,"Refit com arquivo-base separado indicado no post. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-ladrakan,BDOR Ladrakan / Radrakan SMP for BHUNP,conversoes,principal,urbon,BHUNP,,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-ladrakan-93469352,"Refit com arquivo-base separado indicado no post. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-oblivion,BDOR Oblivion SMP for BHUNP and HIMBO,conversoes,principal,urbon,BHUNP; HIMBO,,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-oblivion-97449001,"A fonte registra atualização do link-base em 11/02/2026. | O ESP opcional apenas craftable e os arquivos de BodySlide não dispensam o arquivo-base. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-coconut-pirate,BDOR Coconut Pirate SMP for BHUNP,conversoes,principal,urbon,BHUNP,,unverified,search_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-coconut-smp-97509363,"A fonte descreve divisão do conjunto em peças e revisão dos arquivos de física. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-kerketon,BDO Kerberos / Kerketon SMP for BHUNP and HIMBO,conversoes,principal,urbon,BHUNP; HIMBO,,page_available,page_read,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdo-kerberos-smp-100071398,"A página apresenta um arquivo principal e refits separados BHUNP/HIMBO. | Conjunto inclui capa, máscara, botas e espada grande; não contar esses itens como downloads independentes. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-drakania-exclair,BDOR Drakania Exclair Armor SMP for BHUNP,conversoes,principal,urbon,BHUNP,,page_available,page_read,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-drakania-98475852,"O autor informa que o arquivo completo está anexado, que é craftable e marcado ESL. | Dint999 é creditado na publicação. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-messenger-arduir,BDO Messenger of Arduir for HIMBO,conversoes,principal,urbon,HIMBO,,page_available,page_read,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdo-messenger-of-163219548,"Publicado em 08/07/2026 segundo o sitemap do autor. | O grupo de BodySlide informado é HIMBO - BDOR Messenger. | A publicação descreve BodySlide e alterações no ESP; conferir necessidade do arquivo-base. | Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-guardian-ynixtra,BDO Guardian Ynixtra SMP for BHUNP,conversoes,pendente,urbon,BHUNP,,unverified,author_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdo-guardian-smp-139593066,"Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-lephria,BHUNP - BDOR Lephria Armor SMP,conversoes,pendente,urbon,BHUNP,,unverified,author_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bhunp-bdor-armor-128898465,"Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-black-star,BDOR Black Star SMP for BHUNP,conversoes,pendente,urbon,BHUNP,,unverified,author_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-black-star-124014643,"Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-guardian-grunil,BDOR Guardian Grunil Armour SMP for BHUNP,conversoes,pendente,urbon,BHUNP,,unverified,author_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-guardian-98336470,"Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-hamshin,BDOR Hamshin SMP for BHUNP,conversoes,pendente,urbon,BHUNP,,unverified,author_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-hamshin-smp-98109449,"Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-outlaws-margoria,BDOR Outlaws of Margoria SMP for BHUNP and HIMBO,conversoes,pendente,urbon,BHUNP; HIMBO,,unverified,author_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-outlaws-of-93481368,"Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-liapina,BDOR Liapina for BHUNP,conversoes,pendente,urbon,BHUNP,,unverified,author_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdor-liapina-for-81157089,"Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
urbon-valoren,BDO Valoren BHUNP v4,conversoes,pendente,urbon,BHUNP,,unverified,author_index,2026-09-06,,nao,unverified,https://www.patreon.com/urbon/posts/bdo-valoren-v4-81146768,"Conversões não são automaticamente standalone. Confirmar corpo, arquivo-base e requisitos na publicação.",nao
kirax-reborn-ynixtra,BDO Reborn - Ynixtra Armor by Kirax,armaduras,principal,Kirax001,3BA,1.0.0,page_available,page_read,2026-09-06,3BA,nao,unverified,https://www.loverslab.com/files/file/46198-bdo-reborn-ynixtra-armor-by-kirax/,"A página recomenda ENB com complex material e dynamic cubemap; isso é recomendação, não uma dependência obrigatória verificada. | O autor descreve download no Google Drive e possibilidade de indisponibilidade temporária por tráfego. O arquivo não foi baixado. | Consultar o guia do autor para os requisitos completos; a publicação não os enumera integralmente. | Conferir sobreposição com packs e outros ports do mesmo conjunto.",nao
kirax-reborn-kharoxia,BDO Reborn - Kharoxia Armor by Kirax,armaduras,principal,Kirax001,3BA,1.0.0,page_available,page_read,2026-09-06,3BA,nao,unverified,https://www.loverslab.com/files/file/46197-bdo-reborn-kharoxia-armor-by-kirax/,"A página recomenda ENB com complex material e dynamic cubemap; isso é recomendação, não uma dependência obrigatória verificada. | O autor descreve download no Google Drive e possibilidade de indisponibilidade temporária por tráfego. O arquivo não foi baixado. | Consultar o guia do autor para os requisitos completos; a publicação não os enumera integralmente. | Conferir sobreposição com packs e outros ports do mesmo conjunto.",nao
kirax-reborn-derictus,BDO Reborn - Derictus Armor by Kirax,armaduras,principal,Kirax001,masculino,1.0.0,page_available,page_read,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/46187-bdo-reborn-derictus-armor-by-kirax/,"A página recomenda ENB com complex material e dynamic cubemap; isso é recomendação, não uma dependência obrigatória verificada. | O autor descreve download no Google Drive e possibilidade de indisponibilidade temporária por tráfego. O arquivo não foi baixado. | Consultar o guia do autor para os requisitos completos; a publicação não os enumera integralmente. | Conferir sobreposição com packs e outros ports do mesmo conjunto.",nao
kirax-reborn-scaled-dragon,BDO Reborn - Scaled Dragon Armor by Kirax,armaduras,principal,Kirax001,masculino,1.0.0,page_available,page_read,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/46186-bdo-reborn-scaled-dragon-armor-by-kirax/,"A página recomenda ENB com complex material e dynamic cubemap; isso é recomendação, não uma dependência obrigatória verificada. | O autor descreve download no Google Drive e possibilidade de indisponibilidade temporária por tráfego. O arquivo não foi baixado. | Consultar o guia do autor para os requisitos completos; a publicação não os enumera integralmente. | Conferir sobreposição com packs e outros ports do mesmo conjunto.",nao
kirax-reborn-nereid,BDO Reborn - Nereid Armor by Kirax,armaduras,pendente,Kirax001,,,unverified,author_index,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/46173-bdo-reborn-nereid-armor-by-kirax/,"Título e URL encontrados na seção de outros arquivos do próprio autor. | Corpo, requisitos, versão, download e permissões precisam de leitura individual. | Pode sobrepor conteúdo de packs e outras conversões do mesmo conjunto.",nao
kirax-reborn-pale-rose,BDO Reborn - Pale Rose Armor by Kirax,armaduras,pendente,Kirax001,,,unverified,author_index,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/45794-bdo-reborn-pale-rose-armor-by-kirax/,"Título e URL encontrados na seção de outros arquivos do próprio autor. | Corpo, requisitos, versão, download e permissões precisam de leitura individual. | Pode sobrepor conteúdo de packs e outras conversões do mesmo conjunto.",nao
kirax-reborn-selaine,BDO Reborn - Selaine Armor by Kirax,armaduras,pendente,Kirax001,,,unverified,author_index,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/45569-bdo-reborn-selaine-armor-by-kirax/,"Título e URL encontrados na seção de outros arquivos do próprio autor. | Corpo, requisitos, versão, download e permissões precisam de leitura individual. | Pode sobrepor conteúdo de packs e outras conversões do mesmo conjunto.",nao
kirax-reborn-sephia,BDO Reborn - Sephia Armor by Kirax,armaduras,pendente,Kirax001,,,unverified,author_index,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/45525-bdo-reborn-sephia-armor-by-kirax/,"Título e URL encontrados na seção de outros arquivos do próprio autor. | Corpo, requisitos, versão, download e permissões precisam de leitura individual. | Pode sobrepor conteúdo de packs e outras conversões do mesmo conjunto.",nao
kirax-reborn-elderwood,BDO Reborn - Elderwood Armor by Kirax,armaduras,pendente,Kirax001,,,unverified,author_index,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/45152-bdo-reborn-elderwood-armor-by-kirax/,"Título e URL encontrados na seção de outros arquivos do próprio autor. | Corpo, requisitos, versão, download e permissões precisam de leitura individual. | Pode sobrepor conteúdo de packs e outras conversões do mesmo conjunto.",nao
kirax-reborn-flamekissed,BDO Reborn - Flamekissed Armor by Kirax,armaduras,pendente,Kirax001,,,unverified,author_index,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/44982-bdo-reborn-flamekissed-armor-by-kirax/,"Título e URL encontrados na seção de outros arquivos do próprio autor. | Corpo, requisitos, versão, download e permissões precisam de leitura individual. | Pode sobrepor conteúdo de packs e outras conversões do mesmo conjunto.",nao
kirax-reborn-rosa-cassius,BDO Reborn - Rosa Cassius Armor by Kirax,armaduras,pendente,Kirax001,,,unverified,author_index,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/44544-bdo-reborn-rosa-cassius-armor-by-kirax/,"Título e URL encontrados na seção de outros arquivos do próprio autor. | Corpo, requisitos, versão, download e permissões precisam de leitura individual. | Pode sobrepor conteúdo de packs e outras conversões do mesmo conjunto.",nao
kirax-reborn-gavi-regan,BDO Reborn - Gavi Regan Armor by Kirax,armaduras,pendente,Kirax001,,,unverified,author_index,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/44520-bdo-reborn-gavi-regan-armor-by-kirax/,"Título e URL encontrados na seção de outros arquivos do próprio autor. | Corpo, requisitos, versão, download e permissões precisam de leitura individual. | Pode sobrepor conteúdo de packs e outras conversões do mesmo conjunto.",nao
kirax-reborn-lethena,BDO Reborn - Lethena Armor by Kirax,armaduras,pendente,Kirax001,,,unverified,author_index,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/44391-bdo-reborn-lethena-armor-by-kirax/,"Título e URL encontrados na seção de outros arquivos do próprio autor. | Corpo, requisitos, versão, download e permissões precisam de leitura individual. | Pode sobrepor conteúdo de packs e outras conversões do mesmo conjunto.",nao
dint-bdor-hair,Dint999 BDOR Hair / Hairstyles and Wigs,cabelos,principal,Dint999,,,access_restricted,search_index,2026-09-06,Física SMP; confirmar requisitos completos no canal do autor,nao,unverified,https://boosty.to/dint999/posts/890eb051-1192-48b7-a936-a48a6c68cf02,"O índice do Boosty informa uma versão pública anterior no Discord e acesso restrito ao post. | A página Nexus 188732, lida diretamente, fornece links da versão 0.24 com autorização do autor para publicar esses links. Isso não é autorização de reupload para este projeto. | Conferir a versão-base exigida por addons e patches; não usar versões numeradas diferentes como se fossem idênticas.",nao
caenarvon-hair-addon,Happy New Year Gift: BDOR Hair Addon,cabelos,principal,Caenarvon,,,unverified,search_index,2026-09-06,Dint999 BDOR Hair Pack,nao,unverified,https://www.patreon.com/Caenarvon/posts/happy-new-year-119283988,O autor informa que o addon depende de uma versão do pack-base; não é substituto standalone.,nao
dint-unisex-alkavir,Dint BDOR Unisex,cabelos,principal,Alkavir,,0.24,page_available,page_read,2026-09-06,"BDOR Hair original, em versão correspondente",nao,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/146955,A página menciona bases 0.18 e 0.2x; a versão exibida é 0.24. | Não instalar simultaneamente vários plugins de refit do mesmo cabelo sem verificar conflitos.,nao
dint-salt-wind,Dint BDOR Hair - Salt and Wind (Sassy),cabelos,principal,Uvithryn,,1,page_available,page_read,2026-09-06,Dint999 BDOR Hair v0.24,nao,permission_required,https://www.nexusmods.com/skyrimspecialedition/mods/188732,Instalar apenas uma opção de textura e deixá-la sobrescrever a base. | A página afirma que o addon de Caenarvon compartilha essas texturas. | Autorização para divulgar links do pack-base não autoriza hospedar seus arquivos novamente.,nao
bdo-guardian,ADXP I MCO BDO Guardian,animacoes,principal,krembrule,,,page_available,page_read,2026-09-06,Open Animation Replacer e requisitos; Attack MCO|DXP e requisitos,sim,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/107863,"A página descreve animações feitas à mão. | Não confundir com Guardian Awakening, destinado a outro conjunto de armas.",nao
bdo-guardian-awakening,ADXP I MCO BDO Guardian Awakening,animacoes,principal,,,,unverified,search_index,2026-09-06,ADXP|MCO e requisitos; Animation Motion Revolution; Open Animation Replacer,nao,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/117071,"OAR, AMR e MCO são indicados como núcleo. | TK Dodge ou DMCO são para esquivas; dTry Key Utils para ataques laterais e SCAR para combos de NPCs, conforme a descrição. | Não confundir o número da versão de MCO com a versão do executável Skyrim.",nao
bdo-sura-blade,ADXP I MCO BDO Sura Blade Moveset,animacoes,principal,Shepiao,,1.0,page_available,page_read,2026-09-06,ADXP MCO 1.6+ (versão do mod); Animation Motion Revolution; Behavior Data Injector; dTry Key Utils; IFrame Generator RE; One Click Power Attack NG; Open Animation Replacer; Payload Interpreter; Precision,sim,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/132879,A página exige equipar Sura Blade e Sura Blade Scabbard. | O autor informa que não funciona com outras armas e pede para não substituir arquivos de ação. | MCO 1.6+ não significa Skyrim AE 1.6+.,nao
sura-lesser-power,Sura Blade Moveset Surabuff as LessorPower,patches,principal,Headless Orc / st00nstaff,,1.0,page_available,page_read,2026-09-06,ADXP I MCO BDO Sura Blade Moveset,sim,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/136714,O autor orienta obter novamente a bainha após instalar o patch para aplicar o script. | Instalar depois do moveset-base e validar a versão.,nao
awakened-warrior,Awakened Warrior Greatsword Animations SE,animacoes,principal,Eden Exile,,1,page_available,page_read,2026-09-06,Dynamic Animation Replacer; Dynamic Combat Module; TK Dodge SE,sim,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/40216,"SkySA é recomendado, não obrigatório, segundo a seção de requisitos. | A página usa Awakened Warrior no título e Dark Knight em parte da descrição; essa divergência foi preservada sem escolher uma classe por conta própria. | Não tratar como pacote MCO moderno. Verificar compatibilidade dos frameworks antigos com seu runtime.",nao
pretty-combat-bdo,Pretty Combat Animations (PCA) SE — opção BDO,animacoes,pendente,,,,unverified,search_index,2026-09-06,,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/3761,Somente a opção BDO é pertinente; não é uma conversão completa de Black Desert. | Requisitos e opções atuais do FOMOD ainda precisam de conferência individual.,nao
boss-dreadstorm,Dreadstorm - Mountain Spirit Armor Boss Integration,integracoes,principal,,,,unverified,search_index,2026-09-06,BDOR Mountain Spirit SE e seus requisitos,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/97780,"Adiciona um chefe que usa o conjunto; a página declara não incluir assets da armadura. | A fonte aponta possível custo de desempenho do capacete SMP durante a tempestade. | TrueHUD, DAR/OAR, MCO e SCAR aparecem como opcionais na fonte; não são todos requisitos obrigatórios deste patch.",nao
boss-jabal,Lord Jabal - La Orzeca Armor Boss Integration,integracoes,principal,,,,unverified,search_index,2026-09-06,BDOR La Orzeca SE e seus requisitos,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/97932,"Adiciona um chefe que entrega o conjunto; os assets da armadura não estão incluídos. | TrueHUD, DAR/OAR, MCO e SCAR aparecem como opcionais na fonte; não são todos requisitos obrigatórios deste patch.",nao
boss-izela,Izela Clovermist - Corbicanus Armor Boss Integration,integracoes,principal,,,,unverified,search_index,2026-09-06,"BDOR Corbicanus SE; Abyss, de Darenii; FSMP",nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/100498,"Exige tanto a armadura quanto o pacote de magia Abyss; a página diz não incluir os assets de nenhum deles. | TrueHUD, DAR/OAR, MCO e SCAR aparecem como opcionais na fonte; não são todos requisitos obrigatórios deste patch.",nao
boss-velkaviore,Velkaviore - Arditer Armor Boss Integration,integracoes,principal,Ecskrillos,,,page_available,page_read,2026-09-06,BDOR Arditer SE; FSMP; RaceMenu e 3BA para a armadura-base,nao,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/100648,"Na versão referida, a armadura é apenas feminina. | A fonte sugere a opção No Craft no FOMOD do mod-base; o patch não contém os assets da armadura. | TrueHUD, DAR/OAR, MCO e SCAR aparecem como opcionais na fonte; não são todos requisitos obrigatórios deste patch.",nao
boss-duology,Duology Paramour - Oblivion Armor Boss Integration,integracoes,principal,,,,unverified,search_index,2026-09-06,BDOR Oblivion SE; FSMP,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/101175,"Adiciona dois chefes e recompensas; a armadura-base precisa ser instalada separadamente. | Existe tradução PT-BR listada na fonte; conferir a versão antes de instalar. | TrueHUD, DAR/OAR, MCO e SCAR aparecem como opcionais na fonte; não são todos requisitos obrigatórios deste patch.",nao
mountain-spirit-spid,BDOR Mountain Spirit 3ba SPID,integracoes,principal,Casper / Casper0056,,1.0,page_available,page_read,2026-09-06,BDOR Mountain Spirit em versão SE adequada; SPID (distribuidor mencionado na descrição),nao,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/99701,A página de requisitos aponta para um original LE. Não instalar esse arquivo LE diretamente em SE. | É preciso encontrar o port SE correto e conferir os identificadores esperados pelo patch.,nao
